2.78  -22  -12.4272
2.8  -22  -13.7727
2.8  -22  -20.189
2.8  -22  -16.5442
2.8  -22  -12.6198
2.82  -22  -13.9625
2.82  -22  -20.4187
2.82  -22  -16.7554
2.82  -22  -12.8136
2.84  -22  -14.1534
2.84  -22  -20.6493
2.84  -22  -16.9677
2.84  -22  -13.0087
2.86  -22  -14.3453
2.86  -22  -20.8806
2.86  -22  -17.181
2.86  -22  -13.2051
2.88  -22  -14.5383
2.88  -22  -21.1128
2.88  -22  -17.3952
2.88  -22  -13.4028
2.9  -22  -14.7323
2.9  -22  -21.3457
2.9  -22  -17.6104
2.9  -22  -13.6017
2.92  -22  -14.9273
2.92  -22  -21.5794
2.92  -22  -17.8266
2.92  -22  -13.8018
2.94  -22  -15.1234
2.94  -22  -21.8139
2.94  -22  -18.0437
2.94  -22  -14.0032
2.96  -22  -15.3204
2.96  -22  -22.0491
2.96  -22  -18.2617
2.96  -22  -14.2058
2.98  -22  -15.5185
2.98  -22  -22.285
2.98  -22  -18.4806
2.98  -22  -14.4096
3  -22  -15.7175
3  -22  -22.5216
3  -22  -18.7004
3  -22  -14.6146
3.02  -22  -15.9176
3.02  -22  -22.7589
3.02  -22  -18.9211
3.02  -22  -14.8208
3.04  -22  -16.1186
3.04  -22  -22.9969
3.04  -22  -19.1427
3.04  -22  -15.0281
3.06  -22  -16.3205
3.06  -22  -23.2356
3.06  -22  -19.3651
3.06  -22  -15.2367
3.08  -22  -16.5234
3.08  -22  -23.4749
3.08  -22  -19.5883
3.08  -22  -15.4464
3.1  -22  -16.7273
3.1  -22  -23.7149
3.1  -22  -19.8124
3.1  -22  -15.6572
3.12  -22  -16.9321
3.12  -22  -23.9555
3.12  -22  -20.0373
3.12  -22  -15.8692
3.14  -22  -17.1378
3.14  -22  -24.1967
3.14  -22  -20.263
3.14  -22  -16.0823
3.16  -22  -17.3445
3.16  -22  -24.4385
3.16  -22  -20.4895
3.16  -22  -16.2965
3.18  -22  -17.552
3.18  -22  -24.6808
3.18  -22  -20.7168
3.18  -22  -16.5118
3.2  -22  -17.7605
3.2  -22  -24.9237
3.2  -22  -10.0535
3.2  -22  -20.9448
3.2  -22  -16.7282
3.2  -22  -10.1691
3.22  -22  -17.9698
3.22  -22  -25.1672
3.22  -22  -10.1947
3.22  -22  -21.1735
3.22  -22  -16.9456
3.22  -22  -10.3557
3.24  -22  -18.18
3.24  -22  -25.4112
3.24  -22  -10.3363
3.24  -22  -21.403
3.24  -22  -17.1642
3.24  -22  -10.5437
3.26  -22  -18.3911
3.26  -22  -25.6557
3.26  -22  -10.4782
3.26  -22  -21.6332
3.26  -22  -17.3838
3.26  -22  -10.733
3.28  -22  -18.603
3.28  -22  -25.9007
3.28  -22  -10.6203
3.28  -22  -21.8641
3.28  -22  -17.6044
3.28  -22  -10.9236
3.3  -22  -18.8158
3.3  -22  -26.1463
3.3  -22  -10.7628
3.3  -22  -22.0956
3.3  -22  -17.8261
3.3  -22  -11.1154
3.32  -22  -19.0295
3.32  -22  -26.3922
3.32  -22  -10.9055
3.32  -22  -22.3279
3.32  -22  -18.0488
3.32  -22  -11.3086
3.34  -22  -19.2439
3.34  -22  -26.6387
3.34  -22  -11.0485
3.34  -22  -22.5607
3.34  -22  -18.2725
3.34  -22  -11.503
3.36  -22  -19.4592
3.36  -22  -26.8855
3.36  -22  -11.1917
3.36  -22  -22.7942
3.36  -22  -18.4972
3.36  -22  -11.6987
3.38  -22  -19.6753
3.38  -22  -27.1328
3.38  -22  -11.335
3.38  -22  -23.0284
3.38  -22  -18.7228
3.38  -22  -11.8956
3.4  -22  -19.8922
3.4  -22  -27.3805
3.4  -22  -11.4786
3.4  -22  -23.2631
3.4  -22  -18.9495
3.4  -22  -12.0938
3.42  -22  -20.1099
3.42  -22  -27.6286
3.42  -22  -11.6224
3.42  -22  -23.4984
3.42  -22  -19.1771
3.42  -22  -12.2933
3.44  -22  -20.3284
3.44  -22  -27.877
3.44  -22  -11.7663
3.44  -22  -23.7343
3.44  -22  -19.4056
3.44  -22  -12.4939
3.46  -22  -20.5476
3.46  -22  -28.1258
3.46  -22  -11.9103
3.46  -22  -23.9708
3.46  -22  -19.6351
3.46  -22  -12.6958
3.48  -22  -20.7676
3.48  -22  -28.375
3.48  -22  -12.0544
3.48  -22  -24.2078
3.48  -22  -19.8655
3.48  -22  -12.8988
3.5  -22  -20.9883
3.5  -22  -28.6244
3.5  -22  -12.1986
3.5  -22  -24.4453
3.5  -22  -20.0969
3.5  -22  -13.1031
3.52  -22  -21.2098
3.52  -22  -28.8742
3.52  -22  -12.3429
3.52  -22  -24.6833
3.52  -22  -20.3291
3.52  -22  -13.3085
3.54  -22  -21.432
3.54  -22  -29.1243
3.54  -22  -12.4873
3.54  -22  -24.9218
3.54  -22  -20.5621
3.54  -22  -13.5151
3.56  -22  -21.6549
3.56  -22  -29.3746
3.56  -22  -12.6317
3.56  -22  -25.1608
3.56  -22  -20.7961
3.56  -22  -13.7229
3.58  -22  -21.8785
3.58  -22  -29.6252
3.58  -22  -12.7761
3.58  -22  -25.4002
3.58  -22  -21.0309
